Ensembl ID,Gene name,log2 FC,p-value,q-value
ENSG00000170923,OR7G2,-1.2929865422280393,0.001089296413083781,0.21500853021583158
ENSG00000106852,LHX6,-0.7360326481636654,0.0010895158631819405,0.21500853021583158
ENSG00000278291,NA,-0.5555127393906705,0.0010900509537964552,0.21500853021583158
ENSG00000106236,NPTX2,-0.7507294420498964,0.0010917604371805786,0.21500853021583158
ENSG00000258135,LINC02396,-0.7791868446530528,0.0011024703863008526,0.21500853021583158
ENSG00000141194,OR4D1,-1.4527315163301966,0.0011031716123800998,0.21500853021583158
ENSG00000188848,BEND4,-1.3766507445646419,0.0011159424738468992,0.21500853021583158
ENSG00000114757,PEX5L,-0.7232030345399165,0.0011315740478068366,0.21500853021583158
ENSG00000152595,MEPE,-1.2103783292307644,0.0011497014065471498,0.21500853021583158
ENSG00000197245,FAM110D,-0.8836446891225258,0.0011541420128887796,0.21500853021583158
ENSG00000254471,NA,-0.794683241722671,0.0011615390882774815,0.21500853021583158
ENSG00000245662,LINC02211,-1.2755851915400798,0.0011717787694584746,0.21500853021583158
ENSG00000260913,LINC01254,-1.075719150991323,0.0011860325804439798,0.21500853021583158
ENSG00000226125,LINC01907,-0.9914664658713724,0.0012109740516691486,0.21500853021583158
ENSG00000116675,DNAJC6,-0.6153514448449533,0.001220792482304172,0.21500853021583158
ENSG00000248279,LINC02120,-1.1544658425982217,0.0012224574019645115,0.21500853021583158
ENSG00000268234,FKBP4P6,-1.3484508247795663,0.0012288617960102906,0.21500853021583158
ENSG00000205108,FAM205A,-0.8250847925087923,0.0012379738234392793,0.21500853021583158
ENSG00000260230,FRRS1L,-1.3209245560160279,0.0012630976945309006,0.21500853021583158
ENSG00000240207,NA,-0.2713543691876336,0.0012744543106543301,0.21500853021583158
ENSG00000091704,CPA1,-1.3222698215454733,0.0012830270395316513,0.21500853021583158
ENSG00000233750,CICP27,-0.5349179261988587,0.001284290534732977,0.21500853021583158
ENSG00000166105,GLB1L3,-0.551621008824061,0.001299013968428496,0.21500853021583158
ENSG00000280639,LINC02204,-0.8583448539309878,0.0013024075760795489,0.21500853021583158
ENSG00000278920,NA,-1.181367298082146,0.001318775374282971,0.21500853021583158
ENSG00000162383,SLC1A7,-1.2802622847967633,0.0013282876600357097,0.21500853021583158
ENSG00000151388,ADAMTS12,-0.8073331988379217,0.0013289076746682757,0.21500853021583158
ENSG00000135625,EGR4,-0.8036905509887035,0.0013298737785808856,0.21500853021583158
ENSG00000174807,CD248,-0.7694536339353573,0.0013311146755355977,0.21500853021583158
ENSG00000165966,PDZRN4,-1.2490490313185239,0.0013388363005384302,0.21500853021583158
ENSG00000277531,PNMA8C,-1.0281491269967267,0.0013407599077561215,0.21500853021583158
ENSG00000230524,COL6A4P1,-0.584029056944038,0.001341658484858502,0.21500853021583158
ENSG00000157782,CABP1,-1.000938893510968,0.0013445338691848929,0.21500853021583158
ENSG00000186334,SLC36A3,-0.6591628692794822,0.0013542217118167224,0.21500853021583158
ENSG00000269891,ARHGAP19-SLIT1,-1.349885048667724,0.0013579881993800262,0.21500853021583158
ENSG00000144481,TRPM8,-1.1116154625517607,0.001358658976280834,0.21500853021583158
ENSG00000182013,PNMA8A,-0.8319540791654814,0.0013613870611017184,0.21500853021583158
ENSG00000187553,CYP26C1,-0.49904385586519445,0.0013652213882906748,0.21500853021583158
ENSG00000070915,SLC12A3,-0.874261790544843,0.0013760837316762005,0.21500853021583158
ENSG00000123838,C4BPA,-0.7355150161663963,0.001378060696950978,0.21500853021583158
ENSG00000187902,SHISA7,-1.0215337988675444,0.0014032356410494321,0.21500853021583158
ENSG00000189410,SH2D5,-0.7827895142352729,0.0014071920155119182,0.21500853021583158
ENSG00000177800,TMEM78,-1.308262102825709,0.0014079593231453161,0.21500853021583158
ENSG00000272808,GCAWKR,-0.8019703346917237,0.0014121876942360342,0.21500853021583158
ENSG00000108852,MPP2,-0.8260750575667307,0.0014182639257603166,0.21500853021583158
ENSG00000102468,HTR2A,-1.2037246230129628,0.001443581569766608,0.21500853021583158
ENSG00000249396,LINC02212,-0.930941407347044,0.0014469015073254605,0.21500853021583158
ENSG00000172318,B3GALT1,-0.8622883017739862,0.0014472433763228322,0.21500853021583158
ENSG00000034971,MYOC,-1.1646070631112793,0.0014495189652477592,0.21500853021583158
ENSG00000167117,ANKRD40CL,-0.7958896847497848,0.0014511935011957968,0.21500853021583158
ENSG00000282608,ADORA3,-0.544116075103535,0.001459461328373307,0.21500853021583158
ENSG00000269086,LINC02965,-0.7132050293409168,0.0014607749238579296,0.21500853021583158
ENSG00000179165,PXT1,-0.6748415171985349,0.0014738857694931713,0.21500853021583158
ENSG00000246211,P4HA3-AS1,-0.9963529645594099,0.0014868334684694855,0.21500853021583158
ENSG00000250878,METTL21EP,-0.5659243628520689,0.0015113330980141856,0.21500853021583158
ENSG00000158014,SLC30A2,-1.0097633576267442,0.0015131405348979628,0.21500853021583158
ENSG00000284128,NA,-0.9764507613040517,0.0015240793069947966,0.21500853021583158
ENSG00000238241,CCR12P,-1.1085732855163537,0.001529394621369241,0.21500853021583158
ENSG00000130508,PXDN,-0.40079170771817585,0.001529867082384682,0.21500853021583158
ENSG00000235438,ESRRAP2,-1.1981352734887851,0.0015539794598782943,0.21500853021583158
ENSG00000078053,AMPH,-0.7252929295312094,0.0015645811971546878,0.21500853021583158
ENSG00000160161,CILP2,-0.9608864266794068,0.0015744519887025954,0.21500853021583158
ENSG00000156959,LHFPL4,-0.5782505340588534,0.0015787783722077005,0.21500853021583158
ENSG00000213937,CLDN9,-0.5427312015097417,0.0015834506266244241,0.21500853021583158
ENSG00000082014,SMARCD3,-0.28108783774637863,0.001585092978579021,0.21500853021583158
ENSG00000232662,LDHBP1,-0.8426367156262329,0.0015892112643150099,0.21500853021583158
ENSG00000148702,HABP2,-1.0315273990503777,0.0015944586034613774,0.21500853021583158
ENSG00000115009,CCL20,-0.5524017299196545,0.0016004721342803732,0.21500853021583158
ENSG00000188763,FZD9,-0.9063725522944638,0.001609666013129759,0.21500853021583158
ENSG00000115297,TLX2,-0.7052738834830925,0.0016219408322022367,0.21500853021583158
ENSG00000281162,LINC01127,-0.6596553418964602,0.0016331121712032104,0.21500853021583158
ENSG00000158445,KCNB1,-0.5315706347291774,0.0016423619706650617,0.21500853021583158
ENSG00000114646,CSPG5,-0.6614306051325686,0.0016473512124419605,0.21500853021583158
ENSG00000260412,NA,-1.5786594490427166,0.0016561054030120447,0.21500853021583158
ENSG00000186105,LRRC70,-0.45749886094760955,0.0016614256184882133,0.21500853021583158
ENSG00000127377,CRYGN,-1.1415138365171744,0.0016689276240138887,0.21500853021583158
ENSG00000226482,ADIPOQ-AS1,-1.309829978320118,0.0016704743965841931,0.21500853021583158
ENSG00000226194,LINC02519,-0.8968631056642409,0.0016709045569208208,0.21500853021583158
ENSG00000139292,LGR5,-0.8534517431878541,0.0016785373260498578,0.21500853021583158
ENSG00000100427,MLC1,-0.704385598939992,0.001692866962712412,0.21500853021583158
ENSG00000183199,HSP90AB3P,-1.0369000374674544,0.0016936021613102319,0.21500853021583158
ENSG00000154162,CDH12,-0.8480629452440449,0.001701016852973351,0.21500853021583158
ENSG00000227082,LINC02798,-1.0277950924168717,0.0017323308706748938,0.21556004001814646
ENSG00000182575,NXPH3,-0.6173907910686938,0.0017334410658438701,0.21556004001814646
ENSG00000233058,ATP13A3-DT,-0.44512608741387744,0.001760201845873275,0.21556004001814646
ENSG00000248506,TUBAP10,-1.0075618895867766,0.001768884510784062,0.21556004001814646
ENSG00000075340,ADD2,-0.9151164049480244,0.0017809851893068555,0.21556004001814646
ENSG00000251396,LINC01301,-0.8093298349198075,0.0017907610769705186,0.21556004001814646
ENSG00000151322,NPAS3,-0.7025529144676995,0.0018015030587095818,0.21556004001814646
ENSG00000222012,NA,-0.6991919683163523,0.0018272411990781323,0.21556004001814646
ENSG00000238230,LINC00391,-0.6759381371057566,0.0018353822032419328,0.21556004001814646
ENSG00000100167,SEPTIN3,-0.7034116599484713,0.0018431475519935783,0.21556004001814646
ENSG00000100302,RASD2,-0.9874520500110532,0.001851986622055293,0.21556004001814646
ENSG00000261789,NA,-1.3408774962201997,0.0018568989761203881,0.21556004001814646
ENSG00000084453,SLCO1A2,-1.1614961556753374,0.001862874079733046,0.21556004001814646
ENSG00000254602,MIR130AHG,-1.0061900191517883,0.0018756476255210393,0.21556004001814646
ENSG00000070985,TRPM5,-0.7884628437540768,0.0018770833354730908,0.21556004001814646
ENSG00000284633,NA,-1.1432504898252065,0.0018907540905524543,0.21556004001814646
ENSG00000179141,MTUS2-AS1,-0.8971869575986444,0.0018989707513066164,0.21556004001814646
ENSG00000144285,SCN1A,-1.104971664235806,0.001905616308354341,0.21556004001814646
ENSG00000269113,TRABD2B,-0.76218675178974,0.001906078909935085,0.21556004001814646
ENSG00000189139,FSCB,-0.9909215233867145,0.0019214592899813225,0.21556004001814646
ENSG00000120903,CHRNA2,-0.5873250606015454,0.001924347885925711,0.21556004001814646
ENSG00000196092,PAX5,-0.9695422244814204,0.0019394828007824286,0.21556004001814646
ENSG00000135409,AMHR2,-1.356539495944436,0.0019397575567590098,0.21556004001814646
ENSG00000187950,OVCH1,-0.8107614861952176,0.0019410360901539645,0.21556004001814646
ENSG00000233947,ASS1P3,-1.1628706038040602,0.0019683456705923688,0.21556004001814646
ENSG00000215835,NA,-0.8562151696246637,0.0019715767599463078,0.21556004001814646
ENSG00000105583,WDR83OS,0.0986389908057546,0.0019722974324141882,0.21556004001814646
ENSG00000139874,SSTR1,-1.1600148657003597,0.001994837801912378,0.21556004001814646
ENSG00000105707,HPN,-0.8935189584715313,0.001999472131425727,0.21556004001814646
ENSG00000273106,PPM1B-DT,-1.0227159395763958,0.0020021987865665235,0.21556004001814646
ENSG00000240280,TCAM1P,-0.7894619305800575,0.002004968824109601,0.21556004001814646
ENSG00000231274,SBK3,-1.0827633023956242,0.0020107242763105775,0.21556004001814646
ENSG00000280890,ELDR,-1.1805229705907416,0.0020161875930056364,0.21556004001814646
ENSG00000179097,HTR1F,-1.0063297970386098,0.0020185589854431166,0.21556004001814646
ENSG00000166473,PKD1L2,-0.7272376532585986,0.0020302892937036944,0.21556004001814646
ENSG00000284240,LINC02801,-1.2111753415401427,0.0020343182437266173,0.21556004001814646
ENSG00000138675,FGF5,-1.2115878649568455,0.0020605568100547566,0.21556004001814646
ENSG00000229847,EMX2OS,-1.596193211617383,0.002060948332438211,0.21556004001814646
ENSG00000235366,LINC01055,-0.7191076219020907,0.0020640950859389814,0.21556004001814646
ENSG00000260792,LINC02280,-0.9689657666077639,0.0020783808759923905,0.21556004001814646
ENSG00000168484,SFTPC,-1.0902783951108224,0.0020958924545101663,0.21556004001814646
ENSG00000219438,TAFA5,-0.877198102654185,0.0020997731865828855,0.21556004001814646
ENSG00000229921,KIF25-AS1,-1.0465216307673624,0.0021070229355456523,0.21556004001814646
ENSG00000112164,GLP1R,-1.0100710140059759,0.002114508938799676,0.21556004001814646
ENSG00000258083,OR9A4,-1.2720842601247897,0.0021184833167495263,0.21556004001814646
ENSG00000253279,LINC02209,-1.2912042147936809,0.00212256026928604,0.21556004001814646
ENSG00000167105,TMEM92,-0.28381363549326327,0.0021251769366151508,0.21556004001814646
ENSG00000005981,ASB4,-0.9556352767402584,0.0021263217484788466,0.21556004001814646
ENSG00000279484,KLHL30-AS1,-1.2090262702243788,0.00213391146399009,0.21556004001814646
ENSG00000275620,FLJ16779,-1.3363554150956665,0.002150457685196636,0.21634482050908851
ENSG00000285081,NA,-0.7363558845775012,0.002172773219833042,0.21696764137120686
ENSG00000092758,COL9A3,-0.4468842458529061,0.0021882734421770416,0.21696764137120686
ENSG00000136531,SCN2A,-0.6732733256548995,0.0021935123635167058,0.21696764137120686
ENSG00000162490,DRAXIN,-0.7016621692533184,0.0021971501697105674,0.21696764137120686
ENSG00000115604,IL18R1,-0.41249353033234226,0.0022006617308829,0.21696764137120686
ENSG00000229462,WDR4P2,-1.245929192678331,0.002224809995577595,0.2173717021780189
ENSG00000171054,OR13H1,-0.7976190412799932,0.0022427742149573157,0.2173717021780189
ENSG00000158258,CLSTN2,-0.6361306162786152,0.002242868205852036,0.2173717021780189
ENSG00000260630,SNAI3-AS1,-0.49954637306882704,0.0022604019994160287,0.2173717021780189
ENSG00000224346,BICD1P1,-0.8688286991676916,0.0022654412870455284,0.2173717021780189
ENSG00000087495,PHACTR3,-0.5542364418611047,0.0022696277116960703,0.2173717021780189
ENSG00000180447,GAS1,-0.26454676985239434,0.0022709865654737143,0.2173717021780189
ENSG00000009950,MLXIPL,-0.737484199336448,0.0022753123645703048,0.2173717021780189
ENSG00000100346,CACNA1I,-0.6313275439205551,0.0022929895398282117,0.2180931949298193
ENSG00000213203,GIMAP1,-0.4903662763548083,0.0023005611279516805,0.2180931949298193
ENSG00000172377,OR9I1,-1.0564437757964436,0.002318801513599963,0.21818738022348338
ENSG00000175318,GRAMD2A,-0.4083521557258749,0.0023260345849848403,0.21818738022348338
ENSG00000204033,LRIT2,-1.2725208931884546,0.0023281110434427185,0.21818738022348338
ENSG00000183773,AIFM3,-0.4190804099155954,0.002340541898551395,0.2185215027102075
ENSG00000132854,KANK4,-1.081501072923601,0.0023526782897845366,0.21882571504380852
ENSG00000146122,DAAM2,-0.5589328373629702,0.002367609065830588,0.21938657238568549
ENSG00000071909,MYO3B,-0.783651721125742,0.0024122911619417885,0.22268970996082846
ENSG00000168509,HJV,-0.6949019431028254,0.0024412856600064055,0.22452540652178316
ENSG00000215030,RPL13P12,0.3606668617534815,0.002457700345484373,0.2251947885334529
ENSG00000105991,HOXA1,-0.9661539017386463,0.002488834901515492,0.22667495794980075
ENSG00000135424,ITGA7,-0.41191790825479185,0.0025095824680001267,0.22667495794980075
ENSG00000162426,SLC45A1,-0.6804439536579862,0.002510370116988541,0.22667495794980075
ENSG00000259207,ITGB3,-0.5653302769723629,0.002510640357038932,0.22667495794980075
ENSG00000138061,CYP1B1,-0.4497799673263747,0.002553835748289293,0.22957940050626843
ENSG00000110975,SYT10,-1.1528105539156652,0.0025763509038847937,0.22957940050626843
ENSG00000205181,LINC00654,-0.47923654427863666,0.0025825129250187746,0.22957940050626843
ENSG00000164690,SHH,-0.9996440227077136,0.002607368526864613,0.22957940050626843
ENSG00000167612,ANKRD33,-1.1937743045091123,0.0026147222599884412,0.22957940050626843
ENSG00000162761,LMX1A,-1.2433475701179224,0.002623700955139627,0.22957940050626843
ENSG00000140873,ADAMTS18,-1.2371095532943859,0.002632850596554862,0.22957940050626843
ENSG00000152591,DSPP,-0.8057607989713419,0.0026328671149018754,0.22957940050626843
ENSG00000165694,FRMD7,-0.801941050451557,0.0026367061428054293,0.22957940050626843
ENSG00000218153,KRT18P22,-1.0237738227790674,0.0026400587907171253,0.22957940050626843
ENSG00000276727,NA,-0.7074161796520849,0.0026563903312793935,0.22957940050626843
ENSG00000260347,MOCS1P1,-1.0680158887268347,0.0026679788822573363,0.22957940050626843
ENSG00000258630,LINC02292,-0.7512833360997307,0.002672855643486818,0.22957940050626843
ENSG00000184984,CHRM5,-0.5731698475448449,0.0026742020156630564,0.22957940050626843
ENSG00000237638,LINC02245,-0.8421622956223709,0.002688896900618607,0.22957940050626843
ENSG00000224570,NA,-1.187821454168229,0.0027138131317731326,0.22957940050626843
ENSG00000160117,ANKLE1,-0.5940780013870579,0.0027479698612749865,0.22957940050626843
ENSG00000167680,SEMA6B,-0.4004314056304841,0.002758321818045394,0.22957940050626843
ENSG00000233208,LINC00642,-1.3365948444931042,0.002760008143302838,0.22957940050626843
ENSG00000164236,ANKRD33B,-0.49658330960760577,0.002764615807724066,0.22957940050626843
ENSG00000244675,NA,-0.4226566429940366,0.0027721384573635,0.22957940050626843
ENSG00000228336,OR9H1P,-1.0675313366514358,0.0027746922463396826,0.22957940050626843
ENSG00000230005,SNAP47-AS1,-0.6301282008400102,0.002789200234061373,0.22957940050626843
ENSG00000227811,INKA2-AS1,-0.697888223321249,0.002799435020346506,0.22957940050626843
ENSG00000274286,ADRA2B,-0.5524893102793934,0.0027995577763515076,0.22957940050626843
ENSG00000102048,ASB9,-0.53756323214391,0.0028008527848404625,0.22957940050626843
ENSG00000248327,NOL8P1,-1.1941368271074637,0.0028012907460615633,0.22957940050626843
ENSG00000243838,PSMC1P7,-1.094836577758738,0.002803610822475933,0.22957940050626843
ENSG00000215057,PKMP5,-1.0551466655545723,0.002860428396235862,0.23241922172578927
ENSG00000265000,MARCHF10-DT,-0.8614620821430897,0.0028665533892996823,0.23241922172578927
ENSG00000134249,ADAM30,-1.2869140727926387,0.002868154729604212,0.23241922172578927
ENSG00000117154,IGSF21,-0.7789654661175595,0.0028860319298753853,0.23241922172578927
ENSG00000118160,SLC8A2,-0.6396248865280478,0.0028861711676257135,0.23241922172578927
ENSG00000165462,PHOX2A,-0.831468242088533,0.0029024272393398717,0.23241922172578927
ENSG00000228502,EEF1A1P11,-0.7678920503928311,0.0029211709661243097,0.23241922172578927
ENSG00000090534,THPO,-1.0038934651554843,0.0029217708551434367,0.23241922172578927
ENSG00000256356,HSPA8P5,-1.1135562663698215,0.0029345143627329128,0.23241922172578927
ENSG00000166257,SCN3B,-0.5414647867585539,0.002941705768884179,0.23241922172578927
ENSG00000243902,ELFN2,-1.2340029306555462,0.0029420154648834083,0.23241922172578927
ENSG00000224709,OR11M1P,-0.9851113417859877,0.0029645903605717066,0.23345438724399814
ENSG00000249170,NA,-0.3916266115363171,0.0030081754382373744,0.236132191725079
